"","stream","site_type","analysis_date","category","sample_nr","lipidcontent_per_individual_ug","weight_per_individual_mg","lipidcontent_ug_mg","identified_species"
"1","Hainbach","refuge","01.07.2020","Sample",1,450.409336929255,3.93,114.607973773347,"Gammarus fossarum"
"2","Hainbach","refuge","01.07.2020","Sample",2,200.944810379849,2.4767,81.1340939071541,"Gammarus fossarum"
"3","Hainbach","refuge","01.07.2020","Sample",3,148.684105625814,2.008,74.0458693355648,"Gammarus fossarum"
"4","Hainbach","refuge","01.07.2020","Sample",5,315.275683764273,3.379,93.3044343782993,"Gammarus fossarum"
"5","Modenbach","refuge","01.07.2020","Sample",7,422.333986697687,3.1018,136.157710586655,"Gammarus fossarum"
"6","Modenbach","refuge","01.07.2020","Sample",8,271.9787649526,3.611,75.319513971919,"Gammarus fossarum"
"7","Modenbach","refuge","01.07.2020","Sample",9,143.441109110049,3.944,36.3694495715134,"Gammarus fossarum"
"8","Modenbach","refuge","01.07.2020","Sample",10,137.690744056923,2.3498,58.596792942771,"Gammarus fossarum"
"9","Triefenbach","refuge","01.07.2020","Sample",11,189.782316944985,3.931,48.2783813139112,"Gammarus fossarum"
"10","Triefenbach","edge","01.07.2020","Sample",16,297.009800791632,2.3837,124.600327554487,"Gammarus fossarum"
"11","Hainbach","edge","01.07.2020","Sample",21,344.196615526601,3.7303,92.2704917906337,"Gammarus fossarum"
"12","Hainbach","edge","01.07.2020","Sample",22,476.624216339707,3.0638,155.566360839385,"Gammarus fossarum"
"13","Hainbach","agriculture","01.07.2020","Sample",26,751.627098218245,5.0928,147.586219411374,"Gammarus fossarum"
"14","Modenbach","edge","01.07.2020","Sample",31,366.690707201743,4.239,86.5040592596703,"Gammarus fossarum"
"15","Modenbach","edge","01.07.2020","Sample",32,446.519341220154,3.867,115.46918573058,"Gammarus fossarum"
"16","Modenbach","agriculture","01.07.2020","Sample",36,428.253508986058,3.4376,124.579214855148,"Gammarus fossarum"
"17","Modenbach","agriculture","01.07.2020","Sample",37,453.115387589845,4.719,96.0193658804503,"Gammarus fossarum"
"18","Triefenbach","agriculture","01.07.2020","Sample",41,216.504615631342,1.521,142.343600020606,"Gammarus fossarum"
"19","Triefenbach","agriculture","01.07.2020","Sample",42,111.475839277199,1.536,72.5754161960928,"Gammarus fossarum"
"20","Otterbach","edge","01.07.2020","Sample",66,224.28453263301,4.583,48.9383662738404,"Gammarus fossarum"
"21","Hainbach","refuge","01.07.2020","Sample",91,166.949988598456,1.6915,98.6993725086939,"Gammarus fossarum"
"22","Hainbach","refuge","01.07.2020","Sample",92,564.740161266419,3.462,163.125407644835,"Gammarus fossarum"
"23","Modenbach","refuge","01.07.2020","Sample",93,313.077001641043,3.053,102.547331032114,"Gammarus fossarum"
"24","Triefenbach","refuge","02.03.2020","Sample",13,424.112216740441,2.781,152.50349397355,"Gammarus fossarum"
"25","Hainbach","edge","02.03.2020","Sample",21,423.888137064884,3.021,140.313848747065,"Gammarus fossarum"
"26","Hainbach","edge","02.03.2020","Sample",22,310.48906366767,2.2135,140.270640916047,"Gammarus fossarum"
"27","Hainbach","edge","02.03.2020","Sample",25,679.372164438415,3.1161,218.02001361908,"Gammarus fossarum"
"28","Modenbach","edge","02.03.2020","Sample",32,420.526482508461,3.067,137.113297198716,"Gammarus fossarum"
"29","Modenbach","edge","02.03.2020","Sample",33,411.562112191646,2.5828,159.347263509233,"Gammarus fossarum"
"30","Modenbach","edge","02.03.2020","Sample",35,640.825464857157,5.1628,124.123627654985,"Gammarus fossarum"
"31","Modenbach","agriculture","02.03.2020","Sample",39,388.478947372936,2.4914,155.927971169999,"Gammarus fossarum"
"32","Modenbach","agriculture","02.03.2020","Sample",40,427.697950972421,3.336,128.206819835858,"Gammarus fossarum"
"33","Triefenbach","agriculture","02.03.2020","Sample",45,71.3649726791759,1.3407,53.229635771743,"Gammarus pulex"
"34","Kropsbach","refuge","02.03.2020","Sample",47,383.996762214528,4.3389,88.5009477550826,"Gammarus fossarum"
"35","Kropsbach","refuge","02.03.2020","Sample",48,769.463894733484,5.5355,139.005310221928,"Gammarus fossarum"
"36","Kropsbach","edge","02.03.2020","Sample",51,261.185125533062,1.5117,172.775766046876,"Gammarus fossarum"
"37","Otterbach","refuge","02.03.2020","Sample",61,186.781011917186,1.6885,110.619491807632,"Gammarus fossarum"
